,Month,Geography,Avg_Sale_Amount,Max_Sale_Amount,Min_Sale_Amount
0,2023-01,East,249.04705882352943,493.77,33.78
1,2023-01,North,221.9555172413793,447.02,32.22
2,2023-01,South,258.73739130434785,495.99,24.14
3,2023-01,West,298.72499999999997,492.73,44.54
4,2023-02,East,354.322,497.01,66.37
5,2023-02,North,300.801875,466.96,109.12
6,2023-02,South,263.53625,483.74,23.07
7,2023-02,West,257.3355,469.64,12.21
8,2023-03,East,276.014,490.34,16.28
9,2023-03,North,210.3914705882353,456.08,25.0
10,2023-03,South,245.3176923076923,499.08,16.31
11,2023-03,West,281.50481481481484,498.47,15.5
12,2023-04,East,201.238,500.28,26.98
13,2023-04,North,209.8177777777778,496.67,11.39
14,2023-04,South,270.46066666666667,490.82,23.16
15,2023-04,West,238.34615384615384,485.66,25.79
16,2023-05,East,218.08782608695654,476.7,35.74
17,2023-05,North,262.80068965517245,498.68,44.95
18,2023-05,South,287.834375,493.59,16.92
19,2023-05,West,308.91636363636366,500.54,31.11
20,2023-06,East,238.40809523809523,432.13,22.13
21,2023-06,North,255.30260869565217,490.15,10.51
22,2023-06,South,231.6726666666667,463.27,27.16
23,2023-06,West,317.6535,477.34,52.07
24,2023-07,East,238.77550000000002,481.25,19.39
25,2023-07,North,233.29250000000002,475.75,51.28
26,2023-07,South,228.9326315789474,497.7,13.75
27,2023-07,West,309.372,456.28,114.76
28,2023-08,East,223.56416666666667,450.35,10.65
29,2023-08,North,313.1652631578947,483.76,130.41
30,2023-08,South,257.89,485.57,14.57
31,2023-08,West,279.96263157894737,453.25,82.34
32,2023-09,East,236.40608695652173,492.5,14.24
33,2023-09,North,311.4939130434783,498.71,104.3
34,2023-09,South,254.37047619047618,476.79,37.43
35,2023-09,West,279.53391304347826,487.98,34.33
36,2023-10,East,276.5426315789474,489.82,26.23
37,2023-10,North,259.5647826086956,491.45,28.97
38,2023-10,South,296.0175,444.94,108.8
39,2023-10,West,252.54677419354837,475.23,13.05
40,2023-11,East,283.6788235294118,498.33,57.0
41,2023-11,North,210.66833333333332,428.45,14.45
42,2023-11,South,231.8372222222222,498.25,19.94
43,2023-11,West,187.11333333333334,450.2,16.02
44,2023-12,East,186.03799999999998,500.74,12.16
45,2023-12,North,158.191875,430.88,15.77
46,2023-12,South,230.45172413793105,494.2,15.62
47,2023-12,West,229.375,466.06,34.17
